pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgement
1	Un grupo de niños está jugando en un patio y un anciano está parado en el fondo	Un grupo de niños en un patio está jugando y un hombre está parado en el fondo	4.5	NEUTRAL
2	Un grupo de niños está jugando en la casa y no hay ningún hombre parado en el fondo .	Un grupo de niños está jugando en un patio y un anciano está parado en el fondo	3.2	NEUTRAL
3	Los niños pequeños juegan al aire libre y el hombre sonríe cerca .	Los niños juegan al aire libre cerca de un hombre con una sonrisa .	4.7	ENTAILMENT
5	Los niños juegan al aire libre cerca de un hombre con una sonrisa .	Un grupo de niños está jugando en un patio y un anciano está parado en el fondo	3.4	NEUTRAL
9	Los niños pequeños juegan al aire libre y el hombre sonríe cerca .	Un grupo de niños está jugando en un patio y un anciano está parado en el fondo	3.7	NEUTRAL
12	Dos perros pelean	Dos perros están luchando y abrazándose .	4.0	NEUTRAL
14	Un perro marrón ataca a otro animal frente al hombre de los pantalones	Dos perros pelean	3.5	NEUTRAL
18	Un perro marrón ataca a otro animal frente al hombre de los pantalones	Dos perros están luchando y abrazándose .	3.2	NEUTRAL
25	Nadie anda en bicicleta en una rueda	Una persona con una chaqueta negra está haciendo trucos en una motocicleta .	2.8	NEUTRAL
26	Una persona está montando la bicicleta en una rueda .	Un hombre con una chaqueta negra está haciendo trucos en una moto	3.7	NEUTRAL
28	Una persona en una moto negra está haciendo trucos con una chaqueta .	Una persona está montando la bicicleta en una rueda .	3.4	NEUTRAL
30	Un hombre con una camiseta está mojando la pelota en un juego de baloncesto .	La pelota está siendo sumergida por un hombre con una camiseta en un juego de baloncesto .	4.9	ENTAILMENT
35	Un hombre con una camiseta está mojando la pelota en un juego de baloncesto .	Un hombre que está jugando clava la pelota de baloncesto en la red y hay una multitud en segundo plano .	3.6	NEUTRAL
40	El jugador está clavando la pelota en la red y hay una multitud en segundo plano .	Un hombre con una camiseta está mojando la pelota en un juego de baloncesto .	3.8	NEUTRAL
42	Dos personas hacen kickboxing y los espectadores no miran	Dos personas hacen kickboxing y los espectadores miran	3.4	CONTRADICTION
44	Dos mujeres jóvenes están entrenando en una pelea de kickboxing	Dos mujeres pelean en un combate de kickboxing	4.9	ENTAILMENT
45	Dos mujeres jóvenes no pelean en una pelea de kickboxing	Dos mujeres pelean en un combate de kickboxing	3.9	NEUTRAL
47	Dos personas hacen kickboxing y los espectadores miran	Dos mujeres jóvenes no pelean en una pelea de kickboxing	3.415	NEUTRAL
49	Dos mujeres pelean en un combate de kickboxing	Dos personas hacen kickboxing y los espectadores no miran	3.7	NEUTRAL
55	Tres niños están saltando en las hojas .	Tres niños están saltando en las hojas .	4.4	ENTAILMENT
56	Tres niños están sentados en las hojas .	Tres niños están saltando en las hojas .	3.8	NEUTRAL
58	Los niños con camisetas rojas están jugando en las hojas .	Tres niños están sentados en las hojas .	3.5	NEUTRAL
62	Los niños con camisetas rojas están jugando en las hojas .	Tres niños están saltando en las hojas .	4.0	NEUTRAL
65	Dos ángeles hacen nieve sobre los niños acostados	Dos niños yacen en la nieve y hacen ángeles de nieve .	2.9	NEUTRAL
70	Dos niños yacen en la nieve y dibujan ángeles .	Dos personas en trajes de nieve yacen en la nieve y hacen ángeles de nieve	4.1	NEUTRAL
72	Dos personas en trajes de nieve yacen en la nieve y hacen ángeles de nieve	Dos ángeles hacen nieve sobre los niños acostados	2.5	NEUTRAL
73	Dos niños yacen en la nieve y hacen ángeles de nieve .	Dos personas en trajes de nieve yacen en la nieve y hacen ángeles de nieve	4.2	NEUTRAL
77	Personas vestidas con disfraces se reúnen en un bosque y miran en la misma dirección	Personas enmascaradas miran en la misma dirección en un bosque	4.4	ENTAILMENT
78	Personas vestidas con disfraces se reúnen en un bosque y miran en la misma dirección	Las personas vestidas con disfraces se dispersan en un bosque y miran en diferentes direcciones	3.2	NEUTRAL
79	La gente mira algunos disfraces reunidos en las cercanías del bosque .	Personas vestidas con disfraces se reúnen en un bosque y miran en la misma dirección	3.635	NEUTRAL
81	Una niña está mirando a una mujer en traje	Las personas vestidas con disfraces se dispersan en un bosque y miran en diferentes direcciones	2.4	NEUTRAL
82	Una niña está mirando a una mujer en traje	La gente mira algunos disfraces reunidos en las cercanías del bosque .	2.6	NEUTRAL
83	Una niña está mirando a una mujer en traje	Personas vestidas con disfraces se reúnen en un bosque y miran en la misma dirección	2.2	NEUTRAL
84	Personas vestidas con disfraces se reúnen en un bosque y miran en la misma dirección	La niña está mirando a un hombre disfrazado .	3.0	NEUTRAL
85	Personas vestidas con disfraces se reúnen en un bosque y miran en la misma dirección	Una niña disfrazada parece una mujer	2.0	NEUTRAL
87	Un ciclista solitario está saltando en el aire .	Un motociclista salta en el aire , solo	5.0	ENTAILMENT
88	No hay ciclista saltando en el aire	Un ciclista solitario está saltando en el aire .	4.2	CONTRADICTION
90	Un hombre está saltando a una piscina vacía .	Un hombre está saltando a una piscina llena	3.0	CONTRADICTION
91	Un hombre está saltando a una piscina vacía .	El saltador del hombre está en la piscina vacía	3.1	NEUTRAL
93	Un ciclista solitario está saltando en el aire .	Un hombre está saltando a una piscina llena	1.7	NEUTRAL
94	El saltador del hombre está en la piscina vacía	Un ciclista solitario está saltando en el aire .	1.4	NEUTRAL
97	Un ciclista solitario está saltando en el aire .	Un hombre está saltando a una piscina vacía .	1.5	NEUTRAL
98	Cuatro niños están haciendo backbends en el parque .	Cuatro niños están haciendo flexiones hacia atrás en el parque .	4.8	ENTAILMENT
99	Cuatro niños están haciendo flexiones hacia atrás en el gimnasio .	Cuatro niños están haciendo flexiones hacia atrás en el parque .	3.8	NEUTRAL
100	Cuatro niñas hacen flexiones hacia atrás y juegan en el jardín .	Cuatro chicas hacen flexiones hacia atrás y juegan al aire libre .	4.1	ENTAILMENT
107	Un hombre que está jugando corre con el balón en las manos .	Un jugador corre con el balón	4.3	ENTAILMENT
112	Dos grupos de personas están jugando al fútbol .	Un jugador corre con el balón	2.1	NEUTRAL
113	Dos equipos compiten en un juego de béisbol .	Un jugador corre con el balón	3.0	NEUTRAL
117	Un jugador corre con el balón	Dos equipos compiten en un partido de fútbol .	2.6	NEUTRAL
120	Cinco soportes de madera están frente a la cabaña de cada niño .	Cinco niños están parados frente a una cabaña de madera .	3.2	NEUTRAL
122	Cinco niños están juntos y un niño tiene una pistola	Cinco niños están juntos y ninguno de los niños tiene un arma	3.7	CONTRADICTION
124	Cinco niños están juntos y ninguno de los niños tiene un arma	Cinco niños están parados frente a una cabaña de madera .	2.6	NEUTRAL
126	Cinco niños están parados en una cabaña de madera .	Cinco niños están juntos y un niño tiene una pistola	2.7	NEUTRAL
127	Cinco soportes de madera están frente a la cabaña de cada niño .	Cinco niños están juntos y un niño tiene una pistola	2.3	NEUTRAL
129	Un anciano está sentado en un campo .	Un hombre está sentado en un campo	4.4	ENTAILMENT
130	Un hombre está sentado en un campo	Un hombre corre en un campo	2.6	NEUTRAL
131	Una persona lleva un sombrero y está sentada en el césped .	Una persona está sentada en un campo y lleva un sombrero .	4.1	NEUTRAL
133	Una persona está sentada y lleva un sombrero de hierba .	Una persona lleva un sombrero y está sentada en el césped .	3.4	NEUTRAL
136	Una persona está sentada y lleva un sombrero de hierba .	Un hombre está sentado en un campo	3.3	NEUTRAL
139	Un hombre está sentado en un campo	Una persona lleva un sombrero y está sentada en el césped .	3.8	NEUTRAL
140	La corriente está siendo montada por un grupo de amigos en una balsa .	Un grupo de amigos cabalga la corriente en una balsa .	4.9	ENTAILMENT
141	Un grupo de amigos cabalga la corriente en una balsa .	Un grupo no está montando la corriente en una balsa .	3.7	CONTRADICTION
146	La corriente está siendo montada por un grupo de amigos en una balsa .	Este grupo de personas practica la seguridad en el agua y usa preservativos	3.2	NEUTRAL
148	Un grupo de amigos cabalga la corriente en una balsa .	Este grupo de personas practica la seguridad en el agua y usa preservativos	3.1	NEUTRAL
150	Un ciervo está saltando una valla .	Un ciervo no está saltando la valla	3.9	CONTRADICTION
159	La gente camina dentro de un edificio que tiene muchos murales	La gente camina fuera de un edificio que tiene muchos murales .	3.4	NEUTRAL
161	Varias personas están frente a un edificio colorido .	Nadie está frente al colorido edificio .	3.5	CONTRADICTION
163	La gente camina fuera de un edificio que tiene muchos murales .	Nadie está frente al colorido edificio .	3.6	NEUTRAL
164	La gente camina fuera del edificio que tiene varios murales .	Varias personas están frente a un edificio colorido .	3.6	ENTAILMENT
170	Una familia está mirando a un niño que golpea una pelota de béisbol .	Una familia está mirando a un niño al que le falta una pelota de béisbol .	3.9	NEUTRAL
173	Un niño está golpeando una pelota de béisbol .	Una familia está mirando a un niño al que le falta una pelota de béisbol .	3.015	NEUTRAL
176	A un niño le falta una pelota de béisbol	Una familia está mirando a un niño que golpea una pelota de béisbol .	2.7	NEUTRAL
183	Una multitud púrpura de personas está comiendo en varias mesas de restaurante iluminadas en rojo	Varias personas comen en mesas rojas en un restaurante lleno de gente con luces púrpuras	3.3	NEUTRAL
184	Un gran grupo de asiáticos está comiendo en un restaurante .	Varios clientes están comiendo en un restaurante lleno de gente con luces violetas .	2.9	NEUTRAL
186	Una multitud púrpura de personas está comiendo en varias mesas de restaurante iluminadas en rojo	Un gran grupo de asiáticos está comiendo en un restaurante .	3.1	NEUTRAL
188	Varias personas comen en mesas rojas en un restaurante lleno de gente con luces púrpuras	Un pequeño grupo de personas espera para comer en un restaurante .	3.2	NEUTRAL
192	Un motociclista está de pie sobre el asiento de una motocicleta blanca	Ningún motociclista está parado en el asiento de una motocicleta	3.8	CONTRADICTION
194	Nadie está en una motocicleta y está parado en el asiento .	Alguien está en una motocicleta en blanco y negro y está parado en el asiento .	3.7	CONTRADICTION
200	Un motociclista conduce una motocicleta peligrosamente a lo largo de una carretera	Un motociclista está montando una motocicleta a lo largo de una calzada	4.6	ENTAILMENT
201	No hay motociclista conduciendo una motocicleta por una calzada	Un motociclista está montando una motocicleta a lo largo de una calzada	3.7	CONTRADICTION
202	Un hombre con un casco pintado de rojo está conduciendo una motocicleta azul por la carretera	Un motociclista con un casco rojo está conduciendo una motocicleta azul por la carretera .	4.8	ENTAILMENT
205	Un motociclista sin casco está esperando en una motocicleta azul cerca de la carretera .	Un motociclista está montando una motocicleta a lo largo de una calzada	3.3	NEUTRAL
215	Dos perros están jugando junto a un árbol .	Un perro está agarrando un palo en el aire y otro está mirando	3.7	NEUTRAL
216	Dos perros están jugando junto a un árbol .	No hay perro saltando en el aire	2.7	NEUTRAL
217	Dos perros están jugando junto a un árbol .	Un perro está saltando alto en el aire y otro está mirando	3.0	NEUTRAL
223	Una chica de blanco esta bailando	El bailarín baila frente al equipo de sonido .	4.0	NEUTRAL
224	Una chica de blanco esta bailando	La chica rubia baila detrás del equipo de sonido .	3.3	NEUTRAL
226	Una niña lleva ropa blanca y está bailando .	La chica rubia baila frente al equipo de sonido .	3.5	NEUTRAL
227	La chica rubia baila frente al equipo de sonido .	No hay chica de blanco bailando	3.3	NEUTRAL
232	Tres niños asiáticos bailan y un hombre mira	Tres niños asiáticos bailan y no hay ningún hombre mirando	3.9	CONTRADICTION
233	Tres niños asiáticos bailan y un hombre mira	Un hombre asiático está bailando y tres niños están mirando .	3.7	NEUTRAL
234	Los hijos de una familia están jugando y esperando .	Tres niños asiáticos bailan y un hombre serio está mirando	1.9	NEUTRAL
237	Los hijos de una familia juegan y esperan pacientemente	Tres niños asiáticos bailan y un hombre mira	2.3	NEUTRAL
238	No hay niños jugando y esperando	Tres niños asiáticos bailan y un hombre mira	1.6	NEUTRAL
240	Una mujer lleva un sombrero egipcio en la cabeza .	Una mujer lleva un tocado egipcio	4.3	ENTAILMENT
241	Una mujer lleva un tocado egipcio	Una mujer lleva un tocado indio	4.0	NEUTRAL
248	La mujer negra lleva gafas sobre el tocado .	Una mujer lleva un tocado egipcio	3.6	NEUTRAL
249	Una mujer lleva un sombrero egipcio en la cabeza .	La mujer lleva gafas y un tocado negro .	2.5	NEUTRAL
254	Un excursionista está en la cima de la montaña y está bailando .	No hay excursionista bailando en la cima de la montaña .	3.2	CONTRADICTION
256	No hay ningún hombre en una roca por encima de algunos árboles en una posición extraña	Un hombre está en una roca por encima de algunos árboles y está parado en una posición extraña	4.3	CONTRADICTION
257	Un excursionista está en la cima de la montaña y está bailando .	Un hombre está en una roca por encima de unos árboles y está de pie en una posición incómoda .	2.5	NEUTRAL
258	Un excursionista está en la cima de la montaña y está bailando .	No hay ningún hombre en una roca por encima de algunos árboles en una posición extraña	2.5	NEUTRAL
259	Un hombre está en una roca por encima de algunos árboles y está parado en una posición extraña	Un excursionista está en la cima de la montaña y está bailando alegremente .	2.9	NEUTRAL
260	No hay excursionista bailando en la cima de la montaña .	Un hombre está en una roca por encima de algunos árboles y está parado en una posición extraña	2.4	NEUTRAL
265	El caballo marrón está muy cerca de un barril rojo en el rodeo .	El caballo marrón está cerca de un barril rojo en el rodeo .	4.8	ENTAILMENT
266	El caballo marrón está cerca de un barril rojo en el rodeo .	El caballo marrón está lejos de ser un barril rojo en el rodeo .	3.6	CONTRADICTION
269	Una vaquera monta un caballo marrón y está arrinconando un barril	El caballo marrón está cerca de un barril rojo en el rodeo .	3.2	NEUTRAL
272	Una vaquera monta a caballo y acorrala un barril	El caballo marrón está cerca de un barril rojo en el rodeo .	3.8	NEUTRAL
273	Un niño está parado en el agua fría .	Un niño está parado en el agua	4.1	ENTAILMENT
276	El niño está sentado cerca del océano azul .	El niño vadea por el océano azul	3.2	CONTRADICTION
277	Un niño está parado en el agua	El niño nada por el océano azul .	3.0	NEUTRAL
279	El niño vadea por el océano azul	Un niño está parado en el agua fría .	3.3	NEUTRAL
283	Un hombre está tocando una guitarra en el escenario .	No hay ningún hombre tocando la guitarra en el escenario	3.6	CONTRADICTION
286	Un hombre está tocando una guitarra en el escenario .	Un guitarrista tiene cabello rubio y suelto	3.0	NEUTRAL
287	Un hombre está tocando una guitarra en el escenario .	Una persona calva está tocando una guitarra .	3.8	NEUTRAL
289	No hay ningún hombre tocando la guitarra en el escenario	Una persona tiene cabello rubio y suelto y está tocando una guitarra .	3.4	NEUTRAL
