pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgement
4	Los niños pequeños juegan al aire libre y el hombre sonríe cerca .	No hay ningún niño jugando al aire libre y ningún hombre sonriendo	3.6	CONTRADICTION
24	Una persona con una chaqueta negra está haciendo trucos en una motocicleta .	Una persona experta está montando una bicicleta en una rueda .	3.4	NEUTRAL
105	Cuatro niños están haciendo flexiones hacia atrás en el gimnasio .	Cuatro chicas hacen flexiones hacia atrás y juegan al aire libre .	3.8	NEUTRAL
116	Un jugador lanza la pelota	Dos equipos compiten en un partido de fútbol .	2.9	NEUTRAL
119	Cinco niños están parados frente a una cabaña de madera .	Cinco niños están parados en una cabaña de madera .	4.2	NEUTRAL
185	Pocas personas comen en mesas rojas en un restaurante sin luces	Un gran grupo de asiáticos está comiendo en un restaurante .	2.6	NEUTRAL
197	Alguien está en una motocicleta en blanco y negro y está parado en el asiento .	Una motocicleta viaja de pie sobre el asiento del vehículo .	3.165	NEUTRAL
211	Dos perros están jugando junto a un árbol .	Dos perros están jugando junto a una planta .	4.6	ENTAILMENT
218	Una chica de blanco esta bailando	Una niña lleva ropa blanca y está bailando .	4.9	ENTAILMENT
219	No hay chica de blanco bailando	Una chica de blanco esta bailando	4.2	CONTRADICTION
225	El equipo frente a la bailarina rubia es sonido .	Una chica de blanco esta bailando	2.7	NEUTRAL
228	Una chica de blanco esta bailando	La chica rubia baila frente al equipo de sonido .	3.3	NEUTRAL
236	Los hijos de una familia están jugando y esperando .	Un hombre asiático está bailando y tres niños están mirando .	1.9	NEUTRAL
253	Un excursionista está en la cima de la montaña y está bailando alegremente .	Un excursionista está en la cima de la montaña y está bailando .	4.7	ENTAILMENT
280	Un niño está parado fuera del agua .	El niño vadea por el océano azul	3.135	NEUTRAL
285	Una persona calva está tocando una guitarra .	Una persona tiene cabello rubio y suelto y está tocando una guitarra .	3.9	NEUTRAL
304	Una anciana en topless está cubierta de pintura	Una mujer joven en topless está cubierta de pintura	3.8	NEUTRAL
317	Un grupo de niños con uniforme está parado en una puerta y nadie besa a la madre .	Una multitud de personas está cerca del agua .	1.3	NEUTRAL
382	Un perro marrón y blanco corre por la hierba alta	Un perro marrón y blanco se mueve a través de la hierba salvaje .	4.4	NEUTRAL
384	Un perro blanco y fuego corre por la hierba alta y verde	Un perro blanco y fuego corre por un campo	4.35	ENTAILMENT
394	Un hombre está sentado cerca de una bicicleta y está escribiendo una nota .	Un hombre está parado cerca de una bicicleta y está escribiendo en un papel	3.6	NEUTRAL
402	Un grupo de exploradores camina por la hierba .	Un grupo de exploradores camina por la hierba .	4.1	NEUTRAL
417	Dos hombres se toman un descanso de un viaje por una carretera nevada	Dos hombres con autos están al costado de una carretera nevada .	4.0	NEUTRAL
450	Una dama está surfeando y montando una ola .	Una chica rubia está mirando las olas .	3.3	NEUTRAL
520	La mujer con pantalones plateados , pantalones de campana rosas y una bufanda rosa está montando una bicicleta	Las mujeres con pantalones plateados o las personas que andan en bicicleta no deben usar pantalones de campana rosa y una bufanda rosa .	3.3	NEUTRAL
526	La mujer con pantalones plateados , pantalones de campana rosas y una bufanda rosa está montando una bicicleta	Una mujer peatonal está construyendo bicicletas rosas para jinetes que usan boa	2.4	NEUTRAL
530	Un ciclista lleva ropa negra .	Un motociclista vestido de negro está rompiendo los engranajes	3.1	NEUTRAL
592	Una mujer se quita una capa , que es muy grande , y deja al descubierto un vestido extravagante .	Una mujer se pone un manto , que es muy grande , y oculta un vestido extravagante .	3.5	CONTRADICTION
